キー情報,持続時間(s),遅延時間(s),経過時間(s) (セッション開始からの時間)
p,0.116,3.100,270.837
i,0.090,0.112,271.066
n,0.079,0.631,271.787
k,0.083,0.283,272.149
u,0.064,0.117,272.349
b,0.067,1.377,273.790
a,0.148,0.049,273.905
k,0.084,0.052,274.106
a,0.093,0.034,274.224
n,0.079,1.433,275.749
i,0.083,0.072,275.900
k,0.087,0.088,276.071
u,0.063,0.133,276.292
n,0.077,0.918,277.272
e,0.120,0.030,277.379
n,0.070,0.375,277.875
a,0.112,0.443,277.942
k,0.075,0.040,278.094
a,0.041,0.080,278.250
g,0.150,0.459,278.750
a,0.136,0.536,278.827
i,0.121,0.063,278.963
n,0.078,0.838,279.922
a,0.148,0.040,280.039
g,0.150,0.428,280.616
a,0.121,0.509,280.697
i,0.099,0.098,280.916
j,0.066,1.764,282.779
i,0.060,0.097,282.941
k,0.066,0.081,283.083
i,0.064,0.089,283.238
space,0.072,1.983,285.286
u,0.081,13.649,299.006
k,0.083,0.628,299.715
e,0.140,0.704,299.791
r,0.122,0.545,300.476
u,0.080,0.625,300.556
t,0.110,1.832,302.468
u,0.099,1.930,302.565
r,0.131,0.286,302.950
a,0.135,0.367,303.031
i,0.096,0.020,303.186
o,0.075,1.192,304.474
m,0.112,0.078,304.626
o,0.101,0.154,304.703
i,0.079,0.098,304.902
s,0.139,1.290,306.272
i,0.067,1.392,306.373
k,0.075,0.074,306.514
i,0.067,0.075,306.664
u,0.081,1.355,308.086
e,0.118,0.221,308.388
r,0.104,0.078,308.585
u,0.069,0.029,308.718
i,0.100,1.045,309.831
d,0.089,0.361,310.292
o,0.087,0.436,310.367
u,0.078,0.150,310.604
y,0.109,2.190,312.872
o,0.091,2.275,312.957
t,0.054,0.187,313.235
t,0.100,0.059,313.348
u,0.101,0.066,313.514
u,0.084,2.394,316.010
w,0.165,0.040,316.133
a,0.138,0.133,316.227
s,0.165,0.119,316.483
a,0.171,0.200,316.564
s,0.127,0.952,317.688
u,0.079,0.029,317.844
r,0.090,0.086,318.009
o,0.093,0.167,318.090
k,0.110,2.110,320.293
u,0.081,0.112,320.516
r,0.122,0.168,320.765
o,0.100,0.267,320.864
m,0.075,3.092,324.057
e,0.116,3.162,324.126
s,0.072,0.150,324.392
u,0.046,0.061,324.525
i,0.082,1.110,325.681
k,0.105,0.108,325.871
o,0.076,0.030,326.005
u,0.076,0.085,326.166
o,0.083,1.456,327.698
i,0.109,1.018,328.799
s,0.064,0.199,329.107
i,0.099,2.466,331.638
p,0.093,0.185,331.922
p,0.099,0.067,332.081
a,0.142,0.451,332.631
n,0.071,0.387,333.160
n,0.086,0.051,333.281
s,0.125,1.592,334.960
y,0.117,1.696,335.064
u,0.104,0.032,335.117
u,0.147,0.066,335.288
k,0.098,1.367,336.802
a,0.112,0.030,336.930
g,0.128,0.101,337.142
i,0.069,0.024,337.294
d,0.116,1.252,338.615
o,0.091,1.345,338.708
r,0.162,0.055,338.854
e,0.153,0.124,338.923
space,0.133,1.338,340.414
s,0.117,5.106,345.653
e,0.234,0.130,345.899
e,0.110,0.113,346.246
s,0.117,0.553,346.910
e,0.113,0.074,347.101
i,0.110,0.034,347.248
j,0.148,0.698,348.056
i,0.130,0.779,348.137
r,0.120,3.714,351.981
i,0.078,3.804,352.071
k,0.083,0.090,352.239
a,0.107,0.141,352.290
t,0.168,1.252,353.648
u,0.101,0.041,353.857
k,0.088,0.139,354.097
u,0.071,0.098,354.282
b,0.083,1.844,356.197
o,0.088,1.907,356.259
k,0.117,0.048,356.396
u,0.075,0.095,356.607
a,0.127,0.932,357.614
n,0.098,0.067,357.808
m,0.077,0.908,358.814
a,0.109,0.030,358.921
r,0.101,0.095,359.125
i,0.062,0.029,359.254
j,0.071,1.430,360.747
a,0.118,0.036,360.854
m,0.066,0.129,360.947
u,0.073,0.703,361.716
i,0.102,1.533,363.322
g,0.150,0.157,363.581
a,0.116,0.224,363.648
i,0.109,0.084,363.848
s,0.142,8.918,372.874
y,0.116,0.025,373.042
u,0.168,0.079,373.096
t,0.118,0.559,373.822
o,0.085,0.667,373.931
b,0.078,2.435,376.451
a,0.095,0.030,376.559
t,0.120,0.117,376.772
u,0.078,0.224,376.879
m,0.080,1.092,378.049
a,0.110,1.167,378.123
k,0.083,0.031,378.264
e,0.116,0.026,378.373
a,0.123,0.975,379.463
i,0.095,1.097,379.586
d,0.136,0.305,379.985
a,0.144,0.377,380.057
i,0.136,0.060,380.181
p,0.075,1.825,382.142
u,0.094,0.306,382.523
r,0.123,0.123,382.740
o,0.104,0.232,382.849
z,0.129,0.749,383.702
n,0.116,0.801,384.631
b,0.108,0.081,384.828
u,0.079,0.031,384.967
z,0.096,0.812,385.858
e,0.144,0.325,386.279
n,0.075,0.173,386.596
b,0.099,0.325,386.996
u,0.079,0.414,387.085
m,0.093,1.001,388.165
u,0.093,0.124,388.382
r,0.116,0.058,388.533
i,0.078,0.148,388.623
b,0.101,1.445,390.146
o,0.068,0.030,390.277
k,0.111,0.083,390.428
u,0.088,0.119,390.658
d,0.119,1.354,392.099
o,0.087,1.428,392.174
k,0.091,0.026,392.287
u,0.084,0.223,392.600
b,0.085,1.352,394.036
e,0.135,1.419,394.104
r,0.084,0.108,394.346
u,0.083,0.174,394.413
r,0.185,1.500,395.996
