キー情報,持続時間(s),遅延時間(s),経過時間(s) (セッション開始からの時間)
r,0.104,11.127,255.758
i,0.177,0.053,255.915
k,0.173,0.232,256.324
o,0.119,0.353,256.445
n,0.073,0.121,256.684
n,0.070,0.075,256.832
i,0.073,2.965,259.868
t,0.091,0.125,260.066
t,0.075,0.088,260.245
e,0.084,0.029,260.349
i,0.096,0.029,260.462
h,0.101,2.403,262.961
o,0.095,2.491,263.048
n,0.073,0.070,263.213
n,0.091,0.043,263.328
y,0.067,0.322,263.741
a,0.112,0.388,263.807
m,0.076,2.150,266.069
a,0.078,0.030,266.175
a,0.142,0.172,266.425
d,0.143,0.240,266.807
a,0.117,0.033,266.983
m,0.093,0.832,267.932
a,0.122,0.910,268.010
i,0.056,0.027,268.159
m,0.099,0.645,268.861
a,0.107,0.709,268.925
d,0.130,0.049,269.081
a,0.109,0.117,269.148
a,0.107,0.768,270.024
t,0.069,0.867,270.124
o,0.092,0.033,270.164
n,0.061,0.752,271.009
a,0.076,0.033,271.104
n,0.058,0.103,271.173
a,0.103,0.016,271.247
w,0.142,0.686,272.036
a,0.201,0.739,272.089
k,0.116,0.080,272.259
u,0.097,0.043,272.333
t,0.070,0.649,273.079
o,0.102,0.033,273.182
k,0.121,0.115,273.263
u,0.100,0.085,273.369
b,0.067,0.281,273.750
a,0.094,0.042,273.859
k,0.100,0.019,273.971
a,0.070,0.031,274.102
r,0.063,0.630,274.803
u,0.044,0.033,274.899
s,0.092,0.041,274.984
u,0.088,0.130,275.073
n,0.099,0.455,275.615
i,0.075,0.523,275.683
k,0.097,0.063,275.822
a,0.110,0.028,275.947
i,0.093,0.032,276.089
g,0.077,0.715,276.897
a,0.160,0.749,276.931
s,0.093,0.106,277.198
u,0.027,0.041,277.332
n,0.070,0.407,277.766
e,0.065,0.035,277.871
g,0.090,0.099,278.035
i,0.064,0.032,278.156
y,0.093,0.651,278.872
o,0.112,0.744,278.964
u,0.119,0.077,279.041
j,0.162,0.034,279.195
i,0.168,0.089,279.250
r,0.106,0.458,279.875
a,0.141,0.523,279.941
k,0.106,0.084,280.065
u,0.095,0.052,280.134
z,0.130,2.304,282.533
e,0.111,0.079,282.743
n,0.083,0.243,283.096
b,0.081,0.084,283.264
u,0.114,0.133,283.313
h,0.081,2.074,285.501
a,0.093,2.143,285.570
r,0.078,0.049,285.712
u,0.061,0.035,285.825
f,0.122,0.588,286.474
u,0.072,0.071,286.667
t,0.097,0.066,286.806
a,0.116,0.131,286.870
f,0.087,0.438,287.424
u,0.061,0.057,287.568
k,0.125,0.087,287.716
u,0.079,0.188,287.817
k,0.060,0.813,288.709
a,0.099,0.868,288.764
g,0.084,0.046,288.909
i,0.079,0.022,289.015
j,0.136,0.770,289.864
i,0.133,0.851,289.945
m,0.118,0.024,290.102
i,0.116,0.103,290.181
h,0.075,0.803,291.100
a,0.087,0.872,291.169
n,0.081,0.069,291.244
a,0.093,0.068,291.324
j,0.076,0.573,291.990
a,0.069,0.635,292.053
n,0.088,0.045,292.167
m,0.056,0.050,292.172
a,0.085,0.022,292.277
j,0.123,0.538,292.901
a,0.082,0.661,293.024
m,0.086,0.025,293.130
a,0.092,0.026,293.242
g,0.079,0.490,293.824
u,0.017,0.042,293.945
a,0.102,0.047,294.009
n,0.050,0.032,294.143
i,0.133,0.170,294.363
j,0.092,0.359,294.855
g,0.098,0.185,295.132
u,0.120,0.077,295.308
a,0.116,0.588,296.015
i,0.089,0.038,296.169
j,0.125,0.374,296.632
i,0.101,0.449,296.707
k,0.130,0.055,296.863
u,0.085,0.149,296.957
k,0.061,0.638,297.680
a,0.103,0.680,297.723
w,0.113,0.068,297.893
s,0.290,0.076,297.902
a,0.124,0.158,297.984
k,0.093,0.474,298.666
a,0.097,0.034,298.793
s,0.162,0.084,298.974
a,0.136,0.151,299.041
z,0.122,0.798,299.975
e,0.122,0.098,300.195
n,0.088,0.341,300.658
i,0.105,0.393,300.711
u,0.076,0.372,301.187
s,0.084,0.192,301.455
u,0.067,0.028,301.567
i,0.104,0.098,301.732
e,0.091,0.440,302.276
m,0.102,0.049,302.415
i,0.124,0.095,302.462
d,0.133,0.427,303.013
o,0.113,0.539,303.125
u,0.104,0.044,303.189
z,0.126,0.044,303.337
o,0.107,0.141,303.435
y,0.066,0.548,304.090
a,0.101,0.043,304.199
m,0.159,0.058,304.358
u,0.120,0.167,304.468
t,0.082,1.296,305.884
o,0.041,0.042,306.008
r,0.093,0.046,306.095
i,0.079,0.130,306.180
d,0.115,0.531,306.790
o,0.116,0.638,306.897
k,0.127,0.096,307.001
u,0.110,0.081,307.095
k,0.070,0.584,307.788
a,0.100,0.619,307.823
w,0.151,0.068,307.991
a,0.143,0.140,308.064
m,0.055,0.528,308.735
a,0.087,0.551,308.758
r,0.081,0.067,308.912
u,0.064,0.025,309.018
h,0.110,0.508,309.590
a,0.104,0.595,309.677
h,0.095,0.494,310.274
o,0.113,0.564,310.344
n,0.083,0.050,310.507
k,0.084,0.102,310.693
i,0.068,0.079,310.855
k,0.099,0.883,311.807
y,0.073,0.068,311.974
o,0.094,0.032,312.080
u,0.107,0.087,312.134
t,0.099,0.755,312.996
a,0.109,0.826,313.067
k,0.107,0.324,313.500
u,0.083,0.397,313.573
i,0.067,0.455,314.112
a,0.105,0.044,314.223
i,0.102,0.025,314.354
i,0.081,0.414,314.869
r,0.129,0.173,315.123
a,0.121,0.244,315.194
i,0.093,0.098,315.414
e,0.089,0.626,316.133
n,0.097,0.258,316.479
m,0.100,0.280,316.856
u,0.094,0.355,316.931
y,0.089,0.804,317.829
o,0.123,0.888,317.913
b,0.120,0.114,318.032
u,0.119,0.087,318.123
n,0.168,0.417,318.660
i,0.131,0.490,318.732
u,0.146,0.160,319.023
n,0.137,0.708,319.877
i,0.119,0.821,319.991
k,0.127,0.096,320.205
u,0.098,0.185,320.294
w,0.143,0.130,320.523
a,0.141,0.197,320.590
n,0.117,0.047,320.778
