キー情報,持続時間(s),遅延時間(s),経過時間(s) (セッション開始からの時間)
k,0.071,0.752,90.447
u,0.106,0.059,90.577
m,0.134,0.061,90.744
o,0.131,0.120,90.803
e,0.121,0.575,91.509
i,0.119,0.665,91.600
g,0.134,0.077,91.797
o,0.091,0.086,92.017
b,0.136,0.825,92.933
a,0.134,0.931,93.039
t,0.147,0.064,93.237
u,0.165,0.165,93.338
k,0.122,0.572,94.075
a,0.092,0.661,94.164
t,0.139,0.102,94.358
i,0.104,0.209,94.464
s,0.103,0.706,95.275
y,0.104,0.106,95.484
t,0.074,0.121,95.499
u,0.091,0.014,95.587
u,0.124,0.044,95.722
s,0.119,0.419,96.265
t,0.120,0.165,96.548
i,0.104,0.285,96.668
k,0.122,0.075,96.848
a,0.089,0.017,96.986
s,0.106,0.599,97.675
y,0.109,0.074,97.854
u,0.070,0.183,97.964
u,0.103,0.048,98.081
a,0.087,0.647,98.831
i,0.117,0.049,98.967
s,0.101,0.017,99.102
u,0.089,0.089,99.174
t,0.120,1.141,100.403
a,0.131,1.235,100.497
d,0.135,0.121,100.750
a,0.119,0.185,100.814
p,0.142,0.942,101.874
;,0.061,0.972,101.904
a,0.084,0.052,102.016
n,0.090,0.030,102.130
n,0.088,0.016,102.236
t,0.104,0.048,102.372
u,0.085,0.139,102.463
y,0.122,0.825,103.374
a,0.102,0.933,103.481
n,0.076,0.014,103.597
e,0.087,0.063,103.736
m,0.105,1.291,105.115
e,0.121,1.397,105.220
s,0.135,0.087,105.428
o,0.089,0.030,105.594
m,0.121,0.421,106.105
e,0.119,0.513,106.196
d,0.125,0.074,106.389
o,0.077,0.149,106.464
m,0.129,0.440,106.980
a,0.073,0.287,107.396
d,0.122,0.179,107.649
o,0.104,0.285,107.754
h,0.136,1.006,108.864
a,0.107,1.066,108.924
k,0.170,0.009,109.040
o,0.162,0.074,109.105
d,0.195,0.964,110.231
e,0.187,0.994,110.261
d,0.165,1.176,111.624
a,0.151,1.252,111.699
i,0.076,0.013,111.863
j,0.167,0.060,111.999
i,0.107,0.136,112.075
i,0.073,1.108,113.290
d,0.104,0.152,113.516
o,0.108,0.196,113.560
u,0.072,0.014,113.682
t,0.102,0.844,114.597
y,0.057,0.844,114.597
u,0.104,0.015,114.715
k,0.107,0.059,114.878
u,0.118,0.059,115.045
t,0.123,0.210,115.373
u,0.074,0.151,115.647
k,0.120,0.105,115.826
u,0.106,0.074,116.019
w,0.122,0.615,116.740
a,0.098,0.054,116.916
h,0.085,0.435,117.449
u,0.091,0.165,117.699
u,0.104,0.060,117.851
a,0.090,0.616,118.571
i,0.123,0.012,118.672
d,0.167,0.104,118.899
a,0.155,0.167,118.962
m,0.134,0.564,119.681
a,0.147,0.670,119.787
k,0.108,0.013,119.947
e,0.119,0.121,120.056
w,0.135,0.797,120.971
a,0.087,0.062,121.168
k,0.108,0.103,121.209
a,0.090,0.027,121.345
i,0.120,0.101,121.419
b,0.105,0.513,122.051
e,0.105,0.119,122.275
r,0.108,0.075,122.455
u,0.102,0.138,122.518
h,0.152,2.551,125.171
a,0.136,2.611,125.231
s,0.092,0.088,125.455
i,0.104,0.163,125.531
