キー情報,持続時間(s),遅延時間(s),経過時間(s) (セッション開始からの時間)
r,0.085,0.100,178.571
u,0.060,0.038,178.694
b,0.086,1.324,180.078
i,0.082,1.402,180.155
z,0.077,0.561,180.799
a,0.083,0.071,180.947
h,0.066,0.692,181.722
a,0.049,0.033,181.822
r,0.094,0.172,182.043
u,0.049,0.033,182.171
e,0.084,0.852,183.071
g,0.096,0.353,183.509
a,0.115,0.422,183.578
k,0.078,0.267,183.960
u,0.057,0.082,184.121
j,0.117,1.161,185.339
i,0.054,0.033,185.489
s,0.130,0.281,185.825
a,0.116,0.365,185.908
s,0.101,0.997,187.021
i,0.072,0.048,187.171
r,0.086,0.218,187.461
u,0.062,0.032,187.580
k,0.086,1.296,188.938
e,0.084,0.030,189.054
k,0.070,0.183,189.321
a,0.096,0.057,189.448
n,0.060,0.058,189.603
k,0.083,0.508,190.171
e,0.088,0.032,190.287
k,0.072,0.357,190.732
k,0.095,0.474,191.278
k,0.067,0.466,191.838
e,0.097,0.053,191.958
n,0.057,0.183,192.238
a,0.081,0.284,192.578
k,0.089,0.478,193.137
e,0.077,0.042,193.268
n,0.066,0.183,193.528
k,0.072,0.261,193.855
a,0.090,0.037,193.964
space,0.099,0.660,194.714
o,0.076,7.159,201.972
k,0.096,0.077,202.125
i,0.106,0.053,202.274
r,0.084,0.090,202.471
u,0.052,0.159,202.540
i,0.061,3.413,206.004
t,0.084,0.131,206.196
u,0.074,0.034,206.314
m,0.094,0.141,206.528
o,0.065,0.035,206.656
b,0.125,2.259,208.980
e,0.132,0.133,209.238
r,0.080,0.108,209.478
u,0.037,0.066,209.623
h,0.050,1.176,210.837
j,0.114,0.159,211.047
i,0.047,0.033,211.194
k,0.075,0.114,211.355
u,0.084,0.174,211.604
g,0.101,1.175,212.863
f,0.056,1.176,212.864
i,0.029,0.032,212.996
s,0.113,0.182,213.207
e,0.099,0.040,213.360
i,0.065,0.054,213.513
y,0.122,0.904,214.482
o,0.049,0.025,214.629
k,0.098,0.096,214.773
u,0.087,0.050,214.922
j,0.057,0.050,214.922
g,0.095,1.352,216.360
i,0.088,1.433,216.441
o,0.084,0.875,217.405
u,0.070,0.089,217.578
e,0.087,0.226,217.874
n,0.044,0.126,218.087
n,0.061,0.062,218.193
u,0.095,0.589,218.843
d,0.088,0.234,219.172
o,0.066,0.070,219.330
n,0.037,0.178,219.574
n,0.057,0.069,219.680
t,0.089,0.584,220.321
u,0.037,0.034,220.443
m,0.081,0.111,220.592
i,0.068,0.030,220.703
m,0.099,0.660,221.431
a,0.090,0.759,221.530
k,0.084,0.351,221.970
e,0.091,0.074,222.129
k,0.097,1.637,223.857
i,0.068,0.076,224.030
i,0.073,0.173,224.271
n,0.040,0.370,224.714
n,0.058,0.076,224.830
t,0.085,0.536,225.425
i,0.078,0.033,225.543
k,0.066,0.101,225.721
a,0.102,0.049,225.837
g,0.124,0.637,226.576
h,0.081,0.637,226.576
o,0.108,0.047,226.747
g,0.083,0.717,227.572
o,0.050,0.032,227.687
m,0.065,0.135,227.873
i,0.058,0.033,227.971
y,0.083,0.893,228.921
o,0.100,0.033,229.038
m,0.053,0.317,229.455
i,0.115,0.033,229.541
y,0.074,0.699,230.355
o,0.027,0.041,230.470
m,0.042,0.106,230.604
u,0.069,0.091,230.737
g,0.090,1.166,231.972
u,0.037,0.032,232.095
a,0.116,0.140,232.271
i,0.042,0.033,232.421
s,0.102,0.565,233.028
i,0.073,0.659,233.122
u,0.039,0.659,233.122
s,0.082,0.663,233.859
i,0.066,0.248,234.189
k,0.075,0.091,234.346
i,0.067,0.052,234.473
i,0.071,0.864,235.404
k,0.104,0.095,235.571
o,0.099,0.196,235.671
u,0.065,0.052,235.822
o,0.090,0.436,236.323
n,0.047,0.127,236.540
n,0.055,0.052,236.639
n,0.036,0.059,236.754
n,0.061,0.376,237.165
a,0.054,0.041,237.267
o,0.065,0.568,237.889
n,0.052,0.416,238.370
n,0.068,0.064,238.487
n,0.049,0.084,238.639
a,0.093,0.290,238.978
y,0.084,3.986,243.057
a,0.087,0.046,243.188
k,0.080,0.104,243.378
a,0.086,0.045,243.504
n,0.060,0.239,243.828
n,0.064,0.053,243.940
a,0.112,1.739,245.743
r,0.126,0.133,245.988
a,0.099,0.234,246.088
u,0.096,0.138,246.325
r,0.094,0.390,246.811
i,0.109,0.173,247.078
t,0.093,0.242,247.428
u,0.050,0.042,247.563
s,0.023,0.360,247.972
d,0.123,0.242,248.237
e,0.105,0.359,248.354
m,0.076,0.112,248.571
e,0.036,0.225,248.871
g,0.081,1.401,250.308
f,0.095,0.353,250.742
u,0.091,0.439,250.829
t,0.091,0.485,251.405
o,0.066,0.042,251.538
n,0.048,0.120,251.724
n,0.055,0.060,251.832
space,0.055,0.071,251.958
g,0.117,4.608,256.621
a,0.120,4.667,256.680
n,0.091,0.048,256.848
k,0.083,0.256,257.195
a,0.072,0.027,257.305
y,0.089,1.862,259.239
o,0.072,1.943,259.321
k,0.109,0.086,259.479
o,0.084,0.185,259.578
b,0.106,0.509,260.172
a,0.111,0.581,260.243
r,0.087,0.251,260.605
a,0.107,0.334,260.688
n,0.083,0.644,261.438
e,0.089,0.033,261.553
k,0.133,0.045,261.688
o,0.116,0.165,261.807
u,0.070,0.431,262.354
g,0.093,0.564,262.988
o,0.061,0.033,263.114
k,0.084,0.346,263.521
i,0.072,0.069,263.674
z,0.071,0.408,264.154
e,0.082,0.052,264.276
n,0.052,0.063,264.421
b,0.118,0.234,264.707
u,0.122,0.347,264.820
n,0.099,0.529,265.471
i,0.064,0.043,265.613
k,0.084,0.264,265.941
a,0.094,0.056,266.081
i,0.067,0.044,266.219
m,0.102,0.441,266.728
a,0.076,0.034,266.864
k,0.086,0.464,267.404
u,0.084,0.101,267.591
w,0.248,0.713,268.388
a,0.131,0.787,268.462
r,0.089,0.195,268.830
i,0.070,0.025,268.945
g,0.117,2.307,271.321
e,0.134,2.373,271.388
n,0.067,0.026,271.548
t,0.100,0.159,271.774
i,0.084,0.257,271.872
d,0.133,0.632,272.588
e,0.113,0.736,272.692
r,0.072,0.200,273.005
u,0.070,0.045,273.122
r,0.091,0.528,273.721
i,0.093,0.043,273.855
k,0.069,0.125,274.073
a,0.093,0.029,274.171
g,0.107,0.816,275.080
h,0.034,0.840,275.104
o,0.069,0.035,275.222
g,0.086,0.364,275.655
