キー情報,持続時間(s),遅延時間(s),経過時間(s) (セッション開始からの時間)
u,0.127,0.053,104.327
m,0.154,0.104,104.558
e,0.195,0.103,104.815
n,0.210,0.373,105.383
a,0.150,0.554,105.564
o,0.155,0.035,105.750
s,0.129,0.010,105.914
u,0.181,0.110,106.014
t,0.165,0.643,106.838
u,0.141,0.054,107.058
y,0.180,0.061,107.259
o,0.180,0.240,107.439
i,0.206,0.018,107.638
y,0.183,0.481,108.324
a,0.164,0.645,108.489
k,0.120,0.117,108.625
u,0.169,0.074,108.818
space,0.138,0.162,109.149
b,0.164,0.839,110.125
u,0.150,0.120,110.409
t,0.100,0.050,110.609
a,0.182,0.871,111.580
k,0.121,0.793,112.555
i,0.130,0.093,112.769
z,0.160,0.023,112.922
u,0.178,0.183,113.082
a,0.135,0.435,113.695
i,0.177,0.062,113.893
t,0.134,0.016,114.085
e,0.153,0.056,114.275
t,0.209,1.276,115.705
a,0.135,0.060,115.974
r,0.161,0.530,116.639
a,0.138,0.016,116.816
k,0.166,0.075,116.875
u,0.142,0.052,117.093
h,0.132,0.755,117.990
u,0.183,0.073,118.195
d,0.118,0.241,118.363
h,0.150,0.557,119.038
u,0.164,0.072,119.260
t,0.145,0.052,119.476
a,0.181,0.197,119.621
s,0.151,0.493,120.295
a,0.165,0.644,120.446
k,0.141,0.023,120.634
u,0.153,0.060,120.835
t,0.179,3.943,124.931
a,0.166,0.031,125.140
i,0.165,0.180,125.290
y,0.157,0.054,125.509
o,0.180,0.211,125.666
u,0.135,0.164,125.830
j,0.123,3.001,128.967
o,0.281,0.060,129.149
u,0.176,0.315,129.405
b,0.153,0.059,129.640
u,0.139,0.022,129.816
j,0.182,1.020,130.975
p,0.134,0.600,131.757
j,0.150,0.556,132.447
o,0.165,0.045,132.642
u,0.173,0.022,132.829
b,0.150,0.120,133.122
u,0.160,0.216,133.487
y,0.137,0.900,134.547
t,0.165,0.507,135.191
u,0.196,0.074,135.430
y,0.163,0.150,135.777
u,0.180,0.051,135.991
n,0.181,0.656,136.827
a,0.149,0.836,137.007
m,0.211,0.118,137.125
a,0.135,0.121,137.276
f,0.148,1.336,138.748
u,0.176,0.049,138.945
e,0.165,0.181,139.077
r,0.165,0.105,139.346
u,0.165,0.269,139.511
p,0.166,0.421,140.096
u,0.180,0.045,140.307
r,0.180,0.208,140.471
o,0.183,0.133,140.621
a,0.148,0.222,141.027
k,0.163,0.048,141.224
e,0.151,0.151,141.326
r,0.164,0.048,141.526
u,0.180,0.195,141.672
m,0.151,0.255,142.107
a,0.149,0.389,142.241
k,0.120,0.271,142.661
e,0.195,0.076,142.856
space,0.119,0.361,143.413
r,0.165,2.836,146.368
a,0.121,0.017,146.550
j,0.165,1.185,147.856
i,0.169,0.082,148.103
o,0.167,0.032,148.304
t,0.150,1.720,150.191
y,0.166,0.015,150.357
o,0.180,0.165,150.507
u,0.178,0.017,150.705
r,0.167,0.328,151.211
i,0.178,0.017,151.395
s,0.134,0.016,151.589
u,0.179,0.119,151.692
r,0.182,0.901,152.772
o,0.136,0.055,153.010
-,0.135,0.632,153.778
p,0.164,1.050,154.963
u,0.150,0.060,155.187
t,0.134,1.067,156.404
u,0.120,1.156,156.493
k,0.121,0.089,156.702
u,0.167,0.073,156.896
w,0.182,0.208,157.272
a,0.138,0.028,157.482
k,0.110,0.057,157.677
w,0.199,0.118,157.738
a,0.176,0.149,157.936
s,0.166,0.134,158.247
a,0.150,0.300,158.412
s,0.181,0.301,158.863
i,0.148,0.482,159.044
t,0.135,0.075,159.267
a,0.134,0.019,159.421
w,0.123,0.778,160.333
k,0.141,0.207,160.663
a,0.145,0.332,160.788
w,0.150,0.059,160.992
a,0.179,0.031,161.173
e,0.180,0.360,161.712
m,0.129,0.051,161.943
i,0.138,0.060,162.132
k,0.117,0.301,162.571
u,0.125,0.074,162.762
m,0.120,0.071,162.958
o,0.136,0.090,163.168
o,0.135,0.375,163.679
m,0.135,0.059,163.872
o,0.165,0.075,164.082
u,0.151,0.014,164.262
k,0.181,0.466,164.879
a,0.192,0.016,165.075
t,0.151,0.604,165.871
e,0.136,0.025,166.048
r,0.136,0.014,166.197
k,0.198,0.706,167.039
a,0.435,0.870,167.203
e,0.121,0.136,167.773
k,0.179,0.150,168.044
a,0.165,0.269,168.163
e,0.118,0.047,168.375
r,0.206,0.349,168.842
u,0.161,0.529,169.021
n,0.162,0.440,169.623
a,0.150,0.028,169.813
r,0.120,0.045,170.008
u,0.164,0.016,170.144
y,0.122,0.675,170.983
u,0.140,0.053,171.158
k,0.173,0.067,171.365
a,0.179,0.210,171.508
u,0.140,0.496,172.183
m,0.165,0.100,172.423
a,0.164,0.236,172.559
i,0.164,0.015,172.738
space,0.119,0.211,173.114
e,0.161,2.706,175.939
i,0.117,0.062,176.161
y,0.167,0.075,176.353
o,0.111,0.054,176.574
u,0.125,0.022,176.707
r,0.166,1.756,178.589
i,0.119,1.892,178.725
k,0.163,0.046,178.889
a,0.181,0.150,178.993
y,0.166,0.389,179.563
o,0.160,0.530,179.704
u,0.150,0.119,179.848
i,0.135,0.030,180.028
z,0.150,1.516,181.680
e,0.168,0.073,181.903
n,0.119,0.014,182.086
i,0.150,0.017,182.222
s,0.150,0.417,182.789
y,0.119,0.031,182.970
u,0.096,0.054,183.142
u,0.142,0.054,183.292
f,0.150,0.810,184.244
u,0.086,0.048,184.442
y,0.135,0.075,184.603
u,0.106,0.060,184.799
b,0.181,0.645,185.549
a,0.252,0.783,185.688
t,0.186,0.053,185.993
u,0.177,0.048,186.227
b,0.179,1.202,187.606
a,0.193,0.062,187.847
t,0.128,0.051,188.091
u,0.166,0.030,188.249
u,0.164,0.796,189.210
t,0.135,0.105,189.480
u,0.119,0.061,189.675
r,0.166,0.150,189.764
u,0.137,0.014,189.944
w,0.228,0.584,190.664
a,0.210,0.780,190.861
r,0.174,0.034,191.104
i,0.133,0.033,191.312
r,0.183,0.660,192.105
a,0.161,0.843,192.288
k,0.116,0.022,192.471
u,0.165,0.058,192.645
s,0.135,0.584,193.395
e,0.165,0.016,193.546
k,0.138,0.165,193.695
a,0.162,0.107,193.818
i,0.161,0.122,193.954
z,0.151,0.630,194.745
u,0.132,0.048,194.944
t,0.104,0.089,195.165
t,0.135,0.031,195.300
o,0.150,0.030,195.464
i,0.151,0.631,196.245
