key_info,duration,delay,elapsed_time,推定感情
z,0.088,0.667,175.863,設定状況の魅力
e,0.074,0.195,176.146,設定状況の魅力
h,0.116,0.109,176.33,設定状況の魅力
i,0.167,0.176,176.396,設定状況の魅力
a,0.082,0.34,176.904,設定状況の魅力
s,0.079,0.104,177.089,設定状況の魅力
i,0.091,0.054,177.222,設定状況の魅力
n,0.09,1.234,178.547,設定状況の魅力
i,0.116,1.273,178.586,設定状況の魅力
k,0.06,0.151,178.853,設定状況の魅力
k,0.066,0.084,178.996,設定状況の魅力
i,0.084,0.125,179.188,設定状況の魅力
a,0.088,0.359,179.63,設定状況の魅力
k,0.073,0.032,179.75,設定状況の魅力
a,0.084,0.031,179.853,設定状況の魅力
i,0.06,0.027,179.964,設定状況の魅力
b,0.074,0.777,180.801,設定状況の魅力
a,0.075,0.08,180.955,設定状況の魅力
t,0.084,0.134,181.163,設定状況の魅力
u,0.071,0.032,181.279,設定状況の魅力
a,0.1,1.229,182.58,設定状況の魅力
p,0.067,0.632,183.312,設定状況の魅力
a,0.075,0.031,183.41,設定状況の魅力
k,0.077,0.116,183.601,設定状況の魅力
p,0.104,0.875,184.554,設定状況の魅力
a,0.099,0.123,184.781,設定状況の魅力
d,0.081,0.287,185.167,設定状況の魅力
d,0.087,0.066,185.315,設定状況の魅力
o,0.087,0.043,185.444,設定状況の魅力
w,0.113,0.718,186.25,設定状況の魅力
a,0.096,0.038,186.401,設定状況の魅力
k,0.231,0.052,186.548,設定状況の魅力
u,0.112,0.212,186.708,設定状況の魅力
f,0.097,0.896,187.716,設定状況の魅力
u,0.066,0.033,187.846,設定状況の魅力
y,0.107,0.189,188.101,設定状況の魅力
u,0.137,0.253,188.164,設定状況の魅力
b,0.097,0.781,189.082,設定状況の魅力
e,0.153,0.031,189.21,設定状況の魅力
r,0.09,0.116,189.479,設定状況の魅力
u,0.097,0.032,189.601,設定状況の魅力
j,0.147,0.684,190.382,設定状況の魅力
i,0.108,0.768,190.466,設定状況の魅力
m,0.169,0.124,190.697,設定状況の魅力
i,0.129,0.205,190.779,設定状況の魅力
space,0.078,0.589,191.496,設定状況の魅力
a,0.095,13.465,205.039,設定状況の魅力
i,0.099,0.08,205.214,設定状況の魅力
d,0.103,0.153,205.467,設定状況の魅力
e,0.09,0.151,205.722,設定状況の魅力
a,0.083,0.117,205.928,設定状況の魅力
o,0.084,2.226,208.238,設定状況の魅力
d,0.081,0.059,208.38,設定状況の魅力
o,0.059,0.033,208.494,設定状況の魅力
r,0.125,0.159,208.712,設定状況の魅力
u,0.101,0.031,208.869,設定状況の魅力
s,0.069,0.666,209.637,設定状況の魅力
o,0.105,0.035,209.74,設定状況の魅力
r,0.108,0.074,209.92,設定状況の魅力
u,0.058,0.031,210.059,設定状況の魅力
t,0.093,0.718,210.835,設定状況の魅力
o,0.054,0.05,210.978,設定状況の魅力
o,0.084,0.083,211.115,設定状況の魅力
r,0.096,0.104,211.303,設定状況の魅力
