key_info,duration,delay,elapsed_time,推定感情
t,0.103,0.101,218.434,設定状況の魅力
o,0.051,0.03,218.566,設定状況の魅力
n,0.077,1.224,219.842,設定状況の魅力
e,0.132,1.285,219.902,設定状況の魅力
t,0.102,0.099,220.133,設定状況の魅力
u,0.072,0.192,220.227,設定状況の魅力
a,0.11,0.898,221.197,設定状況の魅力
n,0.111,0.5,221.807,設定状況の魅力
n,0.09,0.303,222.22,設定状況の魅力
n,0.092,0.452,222.762,設定状況の魅力
a,0.105,0.032,222.887,設定状況の魅力
i,0.089,0.038,223.029,設定状況の魅力
b,0.081,1.376,224.494,設定状況の魅力
u,0.076,0.129,224.704,設定状況の魅力
t,0.101,0.121,224.9,設定状況の魅力
a,0.166,0.188,224.967,設定状況の魅力
k,0.09,1.072,226.206,設定状況の魅力
e,0.127,1.139,226.273,設定状況の魅力
g,0.162,0.339,226.739,設定状況の魅力
a,0.112,0.44,226.84,設定状況の魅力
a,0.141,0.682,227.634,設定状況の魅力
s,0.148,0.113,227.888,設定状況の魅力
a,0.15,0.193,227.968,設定状況の魅力
i,0.108,0.055,228.091,設定状況の魅力
a,0.125,1.067,229.266,設定状況の魅力
i,0.089,1.186,229.385,設定状況の魅力
d,0.16,1.388,230.862,設定状況の魅力
a,0.163,1.482,230.956,設定状況の魅力
u,0.073,0.721,231.839,設定状況の魅力
n,0.084,0.194,232.106,設定状況の魅力
d,0.094,1.234,233.423,設定状況の魅力
o,0.095,1.317,233.507,設定状況の魅力
u,0.067,0.123,233.724,設定状況の魅力
m,0.066,1.355,235.146,設定状況の魅力
e,0.146,0.138,235.35,設定状況の魅力
space,0.07,0.754,236.25,設定状況の魅力
r,0.116,4.814,241.135,設定状況の魅力
o,0.09,0.16,241.41,設定状況の魅力
-,0.084,0.576,242.076,設定状況の魅力
p,0.075,0.645,242.805,設定状況の魅力
u,0.073,0.724,243.603,設定状況の魅力
m,0.061,1.885,245.561,設定状況の魅力
e,0.119,1.945,245.622,設定状況の魅力
k,0.095,0.33,246.07,設定状況の魅力
a,0.1,0.033,246.198,設定状況の魅力
z,0.126,1.821,248.119,設定状況の魅力
e,0.154,0.086,248.331,設定状況の魅力
m,0.076,0.92,249.405,設定状況の魅力
a,0.114,0.031,249.512,設定状況の魅力
k,0.041,0.027,249.653,設定状況の魅力
e,0.145,0.257,249.951,設定状況の魅力
n,0.081,0.973,251.069,設定状況の魅力
a,0.077,0.039,251.189,設定状況の魅力
t,0.098,0.139,251.405,設定状況の魅力
u,0.085,0.029,251.532,設定状況の魅力
a,0.138,0.999,252.616,設定状況の魅力
t,0.11,0.137,252.89,設定状況の魅力
o,0.069,0.081,253.082,設定状況の魅力
t,0.154,1.428,254.578,設定状況の魅力
e,0.154,1.494,254.644,設定状況の魅力
i,0.104,0.092,254.89,設定状況の魅力
d,0.107,0.194,255.188,設定状況の魅力
o,0.084,0.296,255.29,設定状況の魅力
b,0.118,1.118,256.492,設定状況の魅力
i,0.084,0.11,256.72,設定状況の魅力
r,0.101,0.234,257.038,設定状況の魅力
u,0.056,0.031,257.17,設定状況の魅力
y,0.088,1.007,258.233,設定状況の魅力
o,0.09,1.086,258.312,設定状況の魅力
e,0.081,0.159,258.561,設定状況の魅力
r,0.106,0.164,258.567,設定状況の魅力
u,0.069,0.427,259.1,設定状況の魅力
o,0.088,0.935,260.104,設定状況の魅力
m,0.146,0.388,260.58,設定状況の魅力
o,0.107,0.48,260.671,設定状況の魅力
i,0.084,0.11,260.888,設定状況の魅力
y,0.098,1.202,262.174,設定状況の魅力
o,0.086,1.295,262.267,設定状況の魅力
r,0.119,0.087,262.44,設定状況の魅力
u,0.06,0.031,262.59,設定状況の魅力
n,0.075,2.129,264.779,設定状況の魅力
e,0.106,0.03,264.884,設定状況の魅力
g,0.123,0.136,265.126,設定状況の魅力
i,0.096,0.03,265.279,設定状況の魅力
k,0.162,1.795,267.17,設定状況の魅力
o,0.159,1.891,267.266,設定状況の魅力
u,0.138,0.175,267.599,設定状況の魅力
p,0.116,3.1,270.837,設定状況の魅力
i,0.09,0.112,271.066,設定状況の魅力
n,0.079,0.631,271.787,設定状況の魅力
k,0.083,0.283,272.149,設定状況の魅力
u,0.064,0.117,272.349,設定状況の魅力
b,0.067,1.377,273.79,設定状況の魅力
a,0.148,0.049,273.905,設定状況の魅力
k,0.084,0.052,274.106,設定状況の魅力
a,0.093,0.034,274.224,設定状況の魅力
n,0.079,1.433,275.749,設定状況の魅力
i,0.083,0.072,275.9,設定状況の魅力
k,0.087,0.088,276.071,設定状況の魅力
u,0.063,0.133,276.292,設定状況の魅力
n,0.077,0.918,277.272,設定状況の魅力
e,0.12,0.03,277.379,設定状況の魅力
n,0.07,0.375,277.875,設定状況の魅力
a,0.112,0.443,277.942,設定状況の魅力
k,0.075,0.04,278.094,設定状況の魅力
a,0.041,0.08,278.25,設定状況の魅力
g,0.15,0.459,278.75,設定状況の魅力
a,0.136,0.536,278.827,設定状況の魅力
i,0.121,0.063,278.963,設定状況の魅力
n,0.078,0.838,279.922,設定状況の魅力
a,0.148,0.04,280.039,設定状況の魅力
g,0.15,0.428,280.616,設定状況の魅力
a,0.121,0.509,280.697,設定状況の魅力
i,0.099,0.098,280.916,設定状況の魅力
j,0.066,1.764,282.779,設定状況の魅力
i,0.06,0.097,282.941,設定状況の魅力
k,0.066,0.081,283.083,設定状況の魅力
i,0.064,0.089,283.238,設定状況の魅力
space,0.072,1.983,285.286,設定状況の魅力
u,0.081,13.649,299.006,設定状況の魅力
k,0.083,0.628,299.715,設定状況の魅力
e,0.14,0.704,299.791,設定状況の魅力
r,0.122,0.545,300.476,設定状況の魅力
u,0.08,0.625,300.556,設定状況の魅力
t,0.11,1.832,302.468,設定状況の魅力
u,0.099,1.93,302.565,設定状況の魅力
r,0.131,0.286,302.95,設定状況の魅力
a,0.135,0.367,303.031,設定状況の魅力
i,0.096,0.02,303.186,設定状況の魅力
o,0.075,1.192,304.474,設定状況の魅力
m,0.112,0.078,304.626,設定状況の魅力
o,0.101,0.154,304.703,設定状況の魅力
i,0.079,0.098,304.902,設定状況の魅力
s,0.139,1.29,306.272,設定状況の魅力
i,0.067,1.392,306.373,設定状況の魅力
k,0.075,0.074,306.514,設定状況の魅力
i,0.067,0.075,306.664,設定状況の魅力
u,0.081,1.355,308.086,設定状況の魅力
e,0.118,0.221,308.388,設定状況の魅力
r,0.104,0.078,308.585,設定状況の魅力
u,0.069,0.029,308.718,設定状況の魅力
i,0.1,1.045,309.831,設定状況の魅力
d,0.089,0.361,310.292,設定状況の魅力
o,0.087,0.436,310.367,設定状況の魅力
u,0.078,0.15,310.604,設定状況の魅力
y,0.109,2.19,312.872,設定状況の魅力
o,0.091,2.275,312.957,設定状況の魅力
t,0.054,0.187,313.235,設定状況の魅力
t,0.1,0.059,313.348,設定状況の魅力
u,0.101,0.066,313.514,設定状況の魅力
u,0.084,2.394,316.01,設定状況の魅力
w,0.165,0.04,316.133,設定状況の魅力
a,0.138,0.133,316.227,設定状況の魅力
s,0.165,0.119,316.483,設定状況の魅力
a,0.171,0.2,316.564,設定状況の魅力
s,0.127,0.952,317.688,設定状況の魅力
u,0.079,0.029,317.844,設定状況の魅力
r,0.09,0.086,318.009,設定状況の魅力
o,0.093,0.167,318.09,設定状況の魅力
k,0.11,2.11,320.293,設定状況の魅力
u,0.081,0.112,320.516,設定状況の魅力
r,0.122,0.168,320.765,設定状況の魅力
o,0.1,0.267,320.864,設定状況の魅力
m,0.075,3.092,324.057,設定状況の魅力
e,0.116,3.162,324.126,設定状況の魅力
s,0.072,0.15,324.392,設定状況の魅力
u,0.046,0.061,324.525,設定状況の魅力
i,0.082,1.11,325.681,設定状況の魅力
k,0.105,0.108,325.871,設定状況の魅力
o,0.076,0.03,326.005,設定状況の魅力
u,0.076,0.085,326.166,設定状況の魅力
o,0.083,1.456,327.698,設定状況の魅力
i,0.109,1.018,328.799,設定状況の魅力
s,0.064,0.199,329.107,設定状況の魅力
i,0.099,2.466,331.638,設定状況の魅力
p,0.093,0.185,331.922,設定状況の魅力
p,0.099,0.067,332.081,設定状況の魅力
a,0.142,0.451,332.631,設定状況の魅力
n,0.071,0.387,333.16,設定状況の魅力
n,0.086,0.051,333.281,設定状況の魅力
s,0.125,1.592,334.96,設定状況の魅力
y,0.117,1.696,335.064,設定状況の魅力
u,0.104,0.032,335.117,設定状況の魅力
u,0.147,0.066,335.288,設定状況の魅力
k,0.098,1.367,336.802,設定状況の魅力
a,0.112,0.03,336.93,設定状況の魅力
g,0.128,0.101,337.142,設定状況の魅力
i,0.069,0.024,337.294,設定状況の魅力
d,0.116,1.252,338.615,設定状況の魅力
o,0.091,1.345,338.708,設定状況の魅力
r,0.162,0.055,338.854,設定状況の魅力
e,0.153,0.124,338.923,設定状況の魅力
space,0.133,1.338,340.414,設定状況の魅力
s,0.117,5.106,345.653,設定状況の魅力
e,0.234,0.13,345.899,設定状況の魅力
e,0.11,0.113,346.246,設定状況の魅力
s,0.117,0.553,346.91,設定状況の魅力
e,0.113,0.074,347.101,設定状況の魅力
i,0.11,0.034,347.248,設定状況の魅力
j,0.148,0.698,348.056,設定状況の魅力
i,0.13,0.779,348.137,設定状況の魅力
r,0.12,3.714,351.981,設定状況の魅力
i,0.078,3.804,352.071,設定状況の魅力
k,0.083,0.09,352.239,設定状況の魅力
a,0.107,0.141,352.29,設定状況の魅力
t,0.168,1.252,353.648,設定状況の魅力
u,0.101,0.041,353.857,設定状況の魅力
k,0.088,0.139,354.097,設定状況の魅力
u,0.071,0.098,354.282,設定状況の魅力
b,0.083,1.844,356.197,設定状況の魅力
o,0.088,1.907,356.259,設定状況の魅力
k,0.117,0.048,356.396,設定状況の魅力
u,0.075,0.095,356.607,設定状況の魅力
a,0.127,0.932,357.614,設定状況の魅力
n,0.098,0.067,357.808,設定状況の魅力
m,0.077,0.908,358.814,設定状況の魅力
a,0.109,0.03,358.921,設定状況の魅力
r,0.101,0.095,359.125,設定状況の魅力
i,0.062,0.029,359.254,設定状況の魅力
j,0.071,1.43,360.747,設定状況の魅力
a,0.118,0.036,360.854,設定状況の魅力
m,0.066,0.129,360.947,設定状況の魅力
u,0.073,0.703,361.716,設定状況の魅力
i,0.102,1.533,363.322,設定状況の魅力
g,0.15,0.157,363.581,設定状況の魅力
a,0.116,0.224,363.648,設定状況の魅力
i,0.109,0.084,363.848,設定状況の魅力
s,0.142,8.918,372.874,設定状況の魅力
y,0.116,0.025,373.042,設定状況の魅力
u,0.168,0.079,373.096,設定状況の魅力
t,0.118,0.559,373.822,設定状況の魅力
o,0.085,0.667,373.931,設定状況の魅力
b,0.078,2.435,376.451,設定状況の魅力
a,0.095,0.03,376.559,設定状況の魅力
t,0.12,0.117,376.772,設定状況の魅力
u,0.078,0.224,376.879,設定状況の魅力
m,0.08,1.092,378.049,設定状況の魅力
a,0.11,1.167,378.123,設定状況の魅力
k,0.083,0.031,378.264,設定状況の魅力
e,0.116,0.026,378.373,設定状況の魅力
a,0.123,0.975,379.463,設定状況の魅力
i,0.095,1.097,379.586,設定状況の魅力
d,0.136,0.305,379.985,設定状況の魅力
a,0.144,0.377,380.057,設定状況の魅力
i,0.136,0.06,380.181,設定状況の魅力
p,0.075,1.825,382.142,設定状況の魅力
u,0.094,0.306,382.523,設定状況の魅力
r,0.123,0.123,382.74,設定状況の魅力
o,0.104,0.232,382.849,設定状況の魅力
z,0.129,0.749,383.702,設定状況の魅力
n,0.116,0.801,384.631,設定状況の魅力
b,0.108,0.081,384.828,設定状況の魅力
u,0.079,0.031,384.967,設定状況の魅力
z,0.096,0.812,385.858,設定状況の魅力
e,0.144,0.325,386.279,設定状況の魅力
n,0.075,0.173,386.596,設定状況の魅力
b,0.099,0.325,386.996,設定状況の魅力
u,0.079,0.414,387.085,設定状況の魅力
m,0.093,1.001,388.165,設定状況の魅力
u,0.093,0.124,388.382,設定状況の魅力
r,0.116,0.058,388.533,設定状況の魅力
i,0.078,0.148,388.623,設定状況の魅力
b,0.101,1.445,390.146,設定状況の魅力
o,0.068,0.03,390.277,設定状況の魅力
k,0.111,0.083,390.428,設定状況の魅力
u,0.088,0.119,390.658,設定状況の魅力
d,0.119,1.354,392.099,設定状況の魅力
o,0.087,1.428,392.174,設定状況の魅力
k,0.091,0.026,392.287,設定状況の魅力
u,0.084,0.223,392.6,設定状況の魅力
b,0.085,1.352,394.036,設定状況の魅力
e,0.135,1.419,394.104,設定状況の魅力
r,0.084,0.108,394.346,設定状況の魅力
u,0.083,0.174,394.413,設定状況の魅力
r,0.185,1.5,395.996,設定状況の魅力
a,0.142,1.577,396.074,設定状況の魅力
k,0.123,0.045,396.261,設定状況の魅力
u,0.077,0.118,396.502,設定状況の魅力
w,0.138,0.7,397.279,設定状況の魅力
a,0.128,0.8,397.379,設定状況の魅力
k,0.119,0.029,397.535,設定状況の魅力
u,0.076,0.107,397.762,設定状況の魅力
t,0.143,0.908,398.745,設定状況の魅力
i,0.08,1.013,398.85,設定状況の魅力
k,0.084,0.099,399.03,設定状況の魅力
a,0.313,0.038,399.151,設定状況の魅力
f,0.133,0.998,400.462,設定状況の魅力
u,0.11,1.078,400.542,設定状況の魅力
r,0.118,0.101,400.752,設定状況の魅力
o,0.086,0.082,400.952,設定状況の魅力
b,0.095,2.733,403.771,設定状況の魅力
a,0.081,0.026,403.893,設定状況の魅力
a,0.118,0.071,404.045,設定状況の魅力
i,0.139,0.045,404.207,設定状況の魅力
y,0.139,0.852,405.198,設定状況の魅力
o,0.113,0.908,405.254,設定状況の魅力
r,0.107,0.162,405.529,設定状況の魅力
u,0.09,0.245,405.612,設定状況の魅力
m,0.125,1.01,406.712,設定状況の魅力
o,0.112,1.106,406.808,設定状況の魅力
r,0.158,0.117,407.037,設定状況の魅力
a,0.138,0.197,407.118,設定状況の魅力
u,0.093,0.046,407.302,設定状況の魅力
k,0.084,0.933,408.328,設定状況の魅力
a,0.124,0.029,408.441,設定状況の魅力
m,0.078,0.144,408.556,設定状況の魅力
e,0.12,0.045,408.68,設定状況の魅力
i,0.097,0.048,408.848,設定状況の魅力
t,0.131,2.156,411.101,設定状況の魅力
u,0.088,2.26,411.205,設定状況の魅力
t,0.105,0.05,411.344,設定状況の魅力
i,0.086,0.118,411.411,設定状況の魅力
t,0.129,1.424,412.921,設定状況の魅力
i,0.094,1.517,413.014,設定状況の魅力
s,0.124,1.72,414.828,設定状況の魅力
i,0.113,1.82,414.928,設定状況の魅力
a,0.136,0.037,415.078,設定状況の魅力
i,0.084,0.141,415.183,設定状況の魅力
i,0.084,1.233,416.5,設定状況の魅力
d,0.113,0.177,416.76,設定状況の魅力
o,0.09,0.272,416.855,設定状況の魅力
u,0.08,0.116,417.061,設定状況の魅力
a,0.119,1.677,418.819,設定状況の魅力
s,0.149,0.092,419.029,設定状況の魅力
a,0.144,0.158,419.096,設定状況の魅力
i,0.08,0.054,419.293,設定状況の魅力
h,0.135,1.136,420.51,設定状況の魅力
i,0.151,1.203,420.577,設定状況の魅力
k,0.11,1.296,422.023,設定状況の魅力
a,0.067,1.406,422.134,設定状況の魅力
r,0.107,0.338,422.538,設定状況の魅力
a,0.183,0.378,422.579,設定状況の魅力
k,0.101,0.099,422.86,設定状況の魅力
u,0.066,0.1,423.061,設定状況の魅力
h,0.12,0.928,424.055,設定状況の魅力
i,0.104,1.003,424.13,設定状況の魅力
r,0.124,0.131,424.365,設定状況の魅力
a,0.139,0.193,424.428,設定状況の魅力
k,0.098,0.067,424.556,設定状況の魅力
u,0.07,0.097,424.75,設定状況の魅力
t,0.16,1.015,425.835,設定状況の魅力
a,0.158,1.1,425.92,設定状況の魅力
g,0.153,0.183,426.261,設定状況の魅力
a,0.083,0.284,426.362,設定状況の魅力
d,0.157,0.192,426.637,設定状況の魅力
a,0.16,0.267,426.712,設定状況の魅力
i,0.075,1.143,428.015,設定状況の魅力
t,0.198,0.296,428.386,設定状況の魅力
e,0.188,0.362,428.452,設定状況の魅力
d,0.118,1.098,429.738,設定状況の魅力
o,0.081,1.174,429.813,設定状況の魅力
r,0.107,0.104,429.998,設定状況の魅力
u,0.059,0.03,430.135,設定状況の魅力
h,0.081,1.374,431.568,設定状況の魅力
a,0.104,0.03,431.679,設定状況の魅力
k,0.069,0.026,431.808,設定状況の魅力
u,0.071,0.103,431.981,設定状況の魅力
b,0.11,1.382,433.434,設定状況の魅力
o,0.069,1.492,433.543,設定状況の魅力
o,0.104,0.053,433.666,設定状況の魅力
k,0.142,0.235,434.005,設定状況の魅力
a,0.111,1.587,435.733,設定状況の魅力
z,0.11,0.151,435.996,設定状況の魅力
e,0.128,0.157,436.263,設定状況の魅力
w,0.083,0.172,436.278,設定状況の魅力
b,0.087,0.555,436.946,設定状況の魅力
o,0.039,0.03,437.062,設定状況の魅力
k,0.097,0.047,437.149,設定状況の魅力
u,0.078,0.125,437.371,設定状況の魅力
e,0.128,1.25,438.7,設定状況の魅力
i,0.091,1.366,438.816,設定状況の魅力
d,0.243,1.363,440.269,設定状況の魅力
a,0.155,1.542,440.449,設定状況の魅力
i,0.103,0.073,440.585,設定状況の魅力
e,0.145,0.518,441.206,設定状況の魅力
i,0.056,0.031,441.382,設定状況の魅力
g,0.144,0.062,441.5,設定状況の魅力
a,0.112,0.127,441.566,設定状況の魅力
i,0.085,0.03,441.674,設定状況の魅力
t,0.12,1.232,442.991,設定状況の魅力
i,0.106,1.32,443.079,設定状況の魅力
g,0.098,0.436,443.621,設定状況の魅力
o,0.07,0.026,443.745,設定状況の魅力
