キー情報,持続時間(s),遅延時間(s),経過時間(s) (セッション開始からの時間)
o,0.081,1.291,223.856
r,0.073,0.092,224.029
u,0.077,0.157,224.094
o,0.081,1.098,225.269
o,0.108,0.121,225.471
m,0.113,0.674,226.253
o,0.095,0.771,226.350
u,0.078,0.125,226.569
b,0.073,1.532,228.179
e,0.067,0.042,228.294
r,0.084,0.088,228.448
u,0.098,0.146,228.507
j,0.128,0.898,229.502
h,0.090,0.901,229.505
i,0.109,0.947,229.552
j,0.142,0.351,230.012
i,0.100,0.423,230.084
k,0.197,0.088,230.272
u,0.105,0.210,230.394
a,0.083,0.421,230.921
m,0.087,0.493,230.993
a,0.070,0.032,231.112
i,0.085,0.028,231.210
i,0.064,0.978,232.273
k,0.061,0.133,232.470
a,0.101,0.105,232.636
i,0.094,0.664,233.400
k,0.097,0.107,233.602
a,0.090,0.032,233.730
i,0.079,0.770,234.589
k,0.079,0.095,234.764
o,0.117,0.167,235.010
u,0.096,0.071,235.198
d,0.106,0.778,236.072
a,0.110,0.074,236.252
m,0.103,0.256,236.617
e,0.116,0.040,236.761
o,0.143,0.749,237.626
u,0.127,0.837,237.714
j,0.156,0.282,238.123
i,0.121,0.360,238.201
d,0.089,0.808,239.130
o,0.092,0.031,239.250
k,0.185,0.155,239.498
u,0.108,0.263,239.606
s,0.105,0.429,240.143
o,0.093,0.513,240.226
t,0.110,0.174,240.494
o,0.093,0.047,240.650
b,0.119,0.459,241.203
i,0.059,0.025,241.346
r,0.076,0.145,241.550
u,0.081,0.031,241.658
f,0.069,1.315,243.054
u,0.077,0.056,243.179
r,0.096,0.150,243.406
u,0.084,0.046,243.549
k,0.085,0.804,244.437
i,0.089,0.115,244.637
z,0.107,0.162,244.889
u,0.107,0.267,244.994
b,0.070,0.877,245.977
a,0.082,0.031,246.078
s,0.086,0.250,246.410
u,0.111,0.043,246.539
m,0.076,0.627,247.277
a,0.088,0.031,247.384
d,0.095,0.130,247.602
o,0.094,0.221,247.693
a,0.105,0.823,248.610
i,0.102,0.031,248.746
s,0.099,0.080,248.928
u,0.122,0.028,249.055
s,0.117,1.550,250.727
k,0.179,1.654,250.831
f,0.104,3.100,254.110
u,0.107,0.071,254.285
n,0.097,0.191,254.583
e,0.115,0.031,254.711
m,0.069,0.551,255.377
n,0.078,0.380,255.827
a,0.100,0.040,255.945
m,0.107,0.076,256.121
e,0.112,0.030,256.258
o,0.102,1.433,257.803
r,0.058,0.422,258.327
t,0.090,0.327,258.712
o,0.067,0.040,258.842
r,0.084,0.087,258.996
u,0.131,0.159,259.069
w,0.099,0.932,260.132
a,0.084,0.048,260.279
i,0.086,0.079,260.442
n,0.078,0.122,260.650
n,0.099,0.072,260.800
a,0.064,0.501,261.400
m,0.084,0.038,261.501
a,0.063,0.030,261.615
r,0.087,0.168,261.846
u,0.113,0.054,261.987
m,0.079,0.527,262.627
a,0.069,0.044,262.749
d,0.101,0.124,262.943
o,0.079,0.032,263.076
a,0.073,0.338,263.493
i,0.081,0.062,263.628
t,0.074,0.350,264.060
e,0.131,0.101,264.235
b,0.102,0.291,264.657
a,0.050,0.028,264.786
k,0.047,0.147,264.984
a,0.116,0.032,265.063
s,0.082,1.340,266.519
i,0.081,0.144,266.745
t,0.065,0.052,266.878
u,0.070,0.030,266.973
space,0.069,0.356,267.399
k,0.116,8.250,275.719
o,0.099,8.316,275.785
n,0.119,0.225,276.109
g,0.121,0.393,276.622
o,0.081,0.514,276.742
r,0.087,5.755,282.578
a,0.095,0.064,282.729
j,0.127,0.226,283.050
i,0.107,0.281,283.105
o,0.128,0.104,283.316
y,0.090,2.465,285.909
o,0.232,0.030,286.029
u,0.058,0.040,286.301
r,0.084,1.038,287.396
i,0.096,1.096,287.455
t,0.079,0.115,287.665
u,0.091,0.175,287.725
d,0.096,5.270,293.086
a,0.065,0.028,293.210
n,0.088,0.028,293.302
s,0.097,0.071,293.462
u,0.068,0.028,293.586
s,0.122,2.145,295.799
i,0.074,0.089,296.010
r,0.035,0.113,296.196
u,0.087,0.141,296.225
t,0.070,1.117,297.429
o,0.063,0.031,297.531
k,0.076,0.116,297.710
i,0.093,0.083,297.868
n,0.082,0.348,298.310
e,0.116,0.036,298.428
g,0.108,0.206,298.750
i,0.111,0.030,298.889
s,0.094,0.426,299.425
i,0.076,0.037,299.557
k,0.088,0.121,299.754
i,0.090,0.084,299.926
d,0.079,0.688,300.704
a,0.081,0.066,300.848
s,0.091,0.054,300.984
u,0.093,0.048,301.123
w,0.090,0.596,301.813
a,0.082,0.031,301.934
r,0.110,0.067,302.083
u,0.098,0.162,302.178
n,0.085,0.952,303.229
u,0.082,0.396,303.709
r,0.090,0.089,303.881
u,0.078,0.176,303.968
b,0.142,1.087,305.133
i,0.073,0.030,305.305
e,0.084,0.501,305.879
b,0.128,0.107,306.070
i,0.100,0.194,306.157
s,0.077,0.192,306.449
u,0.066,0.056,306.583
space,0.092,0.518,307.167
o,0.074,9.209,316.467
k,0.120,9.267,316.525
o,0.093,0.074,316.615
r,0.117,0.145,316.853
u,0.130,0.194,316.902
b,0.165,1.911,318.943
o,0.116,2.053,319.085
k,0.169,0.172,319.374
u,0.115,0.285,319.486
g,0.073,0.645,320.247
o,0.060,0.028,320.348
g,0.077,0.042,320.450
o,0.079,0.116,320.524
i,0.092,0.938,321.541
