キー情報,持続時間(s),遅延時間(s),経過時間(s) (セッション開始からの時間)
a,0.291,0.000,2.438
s,0.198,0.000,2.622
d,0.102,0.000,2.726
f,0.063,0.002,2.830
a,0.153,0.217,3.110
s,0.175,0.234,3.127
d,0.087,0.318,3.212
f,0.091,0.024,3.288
left,0.341,107.914,111.294
