Session_ID,True_Emotion,Duration_Mean,Delay_Mean,APM,Duration_Var,Stop_Ratio
S001_PLACEHOLDER,ENTER_EMOTION_HERE,0.1494923076923077,0.48509230769230766,130.0,0.001010691346153846,0.6761
S001_PLACEHOLDER,難解・頭脳型,0.15055882352941174,0.3678382352941176,136.0,0.0005249964881474978,0.6587333333333334
S001_PLACEHOLDER,難解・頭脳型,0.14586153846153846,0.497076923076923,130.0,0.0006621836538461538,0.6839666666666666
S001_PLACEHOLDER,ENTER_EMOTION_HERE,0.15789999999999998,0.33141428571428566,140.0,0.0006556565217391304,0.6315666666666667
S001_PLACEHOLDER,ENTER_EMOTION_HERE,0.16272727272727272,0.43939999999999996,110.0,0.000644794612794613,0.7016666666666667
S001_PLACEHOLDER,ENTER_EMOTION_HERE,0.15556097560975612,0.32758536585365855,164.0,0.0015314838903944597,0.5748
S001_PLACEHOLDER,ENTER_EMOTION_HERE,0.1525064935064935,0.2477012987012987,154.0,0.0010015427204374573,0.6085666666666666
S001_PLACEHOLDER,感覚運動的興奮,0.1610574712643678,0.2660229885057471,174.0,0.0008973803795776532,0.5329333333333334
S001_PLACEHOLDER,感覚運動的興奮,0.1533235294117647,0.35066176470588234,136.0,0.0011281027216856893,0.6524666666666668
S001_PLACEHOLDER,ENTER_EMOTION_HERE,0.162027397260274,0.30663013698630137,146.0,0.0005398881278538812,0.6057333333333332
S001_PLACEHOLDER,設定状況の魅力,0.15131632653061225,0.20640816326530614,196.0,0.000829352514201557,0.5056999999999999
S001_PLACEHOLDER,設定状況の魅力,0.1560135135135135,0.36141891891891886,148.0,0.0008325066641984449,0.6151666666666666
S001_PLACEHOLDER,ENTER_EMOTION_HERE,0.0,30.0,0.0,0.0,1.0
