Rating,Score
RPG性,0.586915
アクション性,0.55004895
パズル性,0.55284464
報酬の程度,0.6785068
グラフィックのリアル性,0.59023947
音響効果,0.61016107
世界観の仮想・現実性,0.67929393
キャラクターの知名度,0.5617376
文化の異質・同質感,0.6504476
操作のリアクション,0.7117253
遂行時間の長さ,0.76101154
シナリオの重要度,0.57650113
参加人数の多さ,0.579298
ハードウェア普及度,0.61248434
